id,city_name,lon,lat,date,time,temp,temp_min,temp_max,pressure,humidity,dt,timezone,visibility,wind_deg,wind_speed,wind_gust,clouds_all
1282616                                                                                             ,Wali?                                                                                               ,83.76667                                                                                            ,27.98333                                                                                            ,2023-06-08 12:17:32,12:17:32,312.06,312.06,312.06,1001,14,1686205953,20700,10000,146.0,2.65,3.37,8.0
1282621                                                                                             ,Upardang Gadhi                                                                                      ,84.566666                                                                                           ,27.766666                                                                                           ,2023-06-08 12:17:32,12:17:32,310.8,310.8,310.8,1000,14,1686205955,20700,10000,210.0,4.1,4.28,9.0
1282635                                                                                             ,Tulsipur                                                                                            ,82.297256                                                                                           ,28.130989                                                                                           ,2023-06-08 12:17:32,12:17:32,310.78,310.78,310.78,1003,17,1686205411,20700,10000,227.0,6.24,5.87,5.0
1282665                                                                                             ,Tikoli                                                                                              ,84.5                                                                                                ,27.633333                                                                                           ,2023-06-08 12:17:32,12:17:32,315.97,315.97,315.97,1001,13,1686205413,20700,10000,206.0,3.95,3.55,2.0
1282666                                                                                             ,?ikapur                                                                                             ,81.133331                                                                                           ,28.5                                                                                                ,2023-06-08 12:17:32,12:17:32,314.91,314.91,314.91,1001,12,1686205415,20700,10000,252.0,3.95,2.73,0.0
1282616                                                                                             ,Wali?                                                                                               ,83.76667                                                                                            ,27.98333                                                                                            ,2023-06-08 13:18:39,13:18:39,312.44,312.44,312.44,1000,14,1686209620,20700,10000,155.0,2.75,3.24,12.0
1282621                                                                                             ,Upardang Gadhi                                                                                      ,84.566666                                                                                           ,27.766666                                                                                           ,2023-06-08 13:18:39,13:18:39,311.1,311.1,311.1,999,13,1686209622,20700,10000,208.0,3.79,4.64,12.0
1282635                                                                                             ,Tulsipur                                                                                            ,82.297256                                                                                           ,28.130989                                                                                           ,2023-06-08 13:18:39,13:18:39,311.66,311.66,311.66,1001,15,1686209624,20700,10000,231.0,5.56,6.25,35.0
1282665                                                                                             ,Tikoli                                                                                              ,84.5                                                                                                ,27.633333                                                                                           ,2023-06-08 13:18:39,13:18:39,316.94,316.94,316.94,998,12,1686209625,20700,10000,202.0,3.89,4.71,2.0
1282666                                                                                             ,?ikapur                                                                                             ,81.133331                                                                                           ,28.5                                                                                                ,2023-06-08 13:18:39,13:18:39,316.76,316.76,316.76,999,10,1686209627,20700,10000,219.0,3.05,2.59,0.0
